Timestamp,Quelle âge avez vous? ,sexe,Niveau d'étude,  Lieu de résidence   ,Nombre d’heures de sommeil moyen par nuit :  , [Je me sens généralement heureux(se) et satisfait(e) de ma vie.], [Je ressens souvent une pression mentale excessive dans mon quotidien], [Je me sens motivé(e) à atteindre mes objectifs personnels et académiques], [Je ressens souvent un sentiment de calme et d’équilibre émotionnel.]," [J’ai du mal à me détendre, même lorsque j’ai du temps libre.]", [J’ai confiance en ma capacité à surmonter les défis de la vie.], [Je me sens fréquemment fatigué(e) ou épuisé(e) mentalement.], [Je prends plaisir à accomplir mes tâches quotidiennes], [Je ressens de l’enthousiasme pour mes études ou mon travail], [Je me sens en contrôle de mes pensées et de mes émotions.], [Je trouve facilement des solutions aux problèmes qui se présentent à moi.], [Je me sens impliqué(e) et investi(e) dans ce que je fais.], [J’ai des pensées négatives qui reviennent régulièrement.], [Je parviens à maintenir un bon niveau de concentration dans mes activités.], [Je ressens souvent une pression excessive liée à mes études/travail.], [Je me sens souvent dépassé(e) par mes responsabilités personnelles et académiques.], [Je ressens fréquemment des pensées négatives qui augmentent mon stress.]," [Je ressens du stress dans les interactions sociales (ex. : prise de parole, travail en groupe).]", [Les délais et les échéances me mettent sous une forte pression], [Je dors mal à cause du stress ou de l’anxiété.], [Je me sens stressé(e) face à l’incertitude de mon avenir.], [L’environnement dans lequel je travaille ou étudie contribue à mon stress], [J’ai peur d’échouer dans mes études ou mon travail.], [J’ai du mal à gérer plusieurs tâches en même temps sans ressentir du stress.], [Je me sens facilement irritable ou frustré(e) en raison du stress]," [Les attentes des autres (famille, amis, professeurs, employeurs) me mettent une pression importante.]", [Je ressens un manque de soutien de la part de mon entourage lorsque je suis stressé(e).], [Je ressens un stress financier qui impacte mon bien-être général.], [Avez-vous déjà consulté un psychologue pour des raisons liées à votre santé mentale ?], [Avez-vous déjà hésité à consulter un psychologue par peur du regard des autres ?], [Pensez-vous que les services de santé mentale sont suffisamment accessibles aux étudiants ?], [Avez-vous remarqué un changement dans votre appétit en raison de votre état mental ?], [Passez-vous beaucoup de temps sur les écrans au détriment de votre bien-être mental ?], [Avez-vous une personne de confiance à qui parler lorsque vous ne vous sentez pas bien mentalement ?], [Pratiquez-vous une activité physique régulière pour améliorer votre bien-être mental ?], [Pensez-vous que votre établissement propose un soutien psychologique suffisant aux étudiants]
02/04/2025 14:23:11,21,Femme,cycle d'ingénieur,colocation,6 heures,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Neutre,non,non,non,non,oui,oui,oui,oui
02/04/2025 14:26:33,21,Femme,licence,foyer universitaire,7-8,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Tout à fait d’accord,Plutôt d’accord,Neutre,Neutre,Plutôt d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Neutre,Pas du tout d’accord,Pas du tout d’accord,Plutôt d’accord,oui,non,oui,oui,oui,oui,oui,oui
02/04/2025 14:42:21,21,Femme,cycle d'ingénieur,colocation,7,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Tout à fait d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Pas du tout d’accord,Neutre,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,non,non,non,oui,oui,oui,oui,non
02/04/2025 14:42:31,23,Homme,cycle d'ingénieur,colocation,4,Plutôt pas d’accord,Tout à fait d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Neutre,Plutôt pas d’accord,Tout à fait d’accord,Tout à fait d’accord,Neutre,Neutre,Tout à fait d’accord,Neutre,Tout à fait d’accord,non,oui,non,non,oui,non,non,non
02/04/2025 14:54:59,25,Femme,licence,colocation,7h,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,oui,non,non,oui,oui,oui,oui,non
02/04/2025 15:22:11,22,Homme,cycle d'ingénieur,chez la famille,8,Plutôt d’accord,Neutre,Plutôt d’accord,Neutre,Neutre,Plutôt d’accord,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Neutre,Neutre,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Plutôt d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Neutre,Tout à fait d’accord,Plutôt pas d’accord,Neutre,non,non,non,oui,non,oui,oui,non
02/04/2025 16:02:34,23,Homme,cycle d'ingénieur,chez la famille,7,Plutôt d’accord,Neutre,Neutre,Plutôt pas d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Neutre,Pas du tout d’accord,Pas du tout d’accord,Neutre,Pas du tout d’accord,Neutre,Pas du tout d’accord,Pas du tout d’accord,Neutre,Pas du tout d’accord,non,non,non,oui,oui,non,non,non
02/04/2025 16:18:04,21,Homme,cycle d'ingénieur,colocation,8,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,Plutôt d’accord,Tout à fait d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,non,non,oui,oui,oui,non,non,non
02/04/2025 16:27:40,21,Femme,licence,colocation,8,Tout à fait d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,Plutôt pas d’accord,Tout à fait d’accord,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Neutre,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,non,non,oui,oui,non,oui,non,oui
02/04/2025 16:59:14,21,Femme,cycle d'ingénieur,colocation,6,Tout à fait d’accord,Neutre,Tout à fait d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,oui,non,oui,,,,,
02/04/2025 18:21:14,22,Femme,cycle d'ingénieur,colocation,5,Plutôt d’accord,Tout à fait d’accord,Pas du tout d’accord,Neutre,Tout à fait d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Tout à fait d’accord,Plutôt d’accord,Neutre,Pas du tout d’accord,Plutôt pas d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt pas d’accord,Tout à fait d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Pas du tout d’accord,Tout à fait d’accord,oui,non,non,oui,oui,oui,non,non
02/04/2025 19:48:43,22,Femme,cycle d'ingénieur,chez la famille,"Entre 7 et 8 , 12",Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt pas d’accord,Neutre,Neutre,Neutre,Pas du tout d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Neutre,Neutre,Neutre,Neutre,Neutre,non,non,oui,oui,oui,oui,oui,oui
02/04/2025 20:16:44,23,Homme,cycle d'ingénieur,chez la famille,7,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Pas du tout d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Tout à fait d’accord,Plutôt pas d’accord,Plutôt d’accord,Neutre,Tout à fait d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Pas du tout d’accord,non,non,non,oui,oui,oui,oui,non
02/04/2025 22:24:04,22,Femme,cycle d'ingénieur,chez la famille,6,Plutôt d’accord,Neutre,Neutre,Plutôt d’accord,Pas du tout d’accord,Plutôt d’accord,Neutre,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Plutôt pas d’accord,Neutre,Neutre,Pas du tout d’accord,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,non,non,non,oui,non,oui,non,non
03/04/2025 01:56:14,55,Homme,master,colocation,11,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Neutre,Neutre,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,non,oui,non,oui,non,oui,non,oui
03/04/2025 14:36:46,24,Femme,master,colocation,6,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Neutre,Neutre,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Neutre,Pas du tout d’accord,Neutre,Pas du tout d’accord,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Neutre,Neutre,Pas du tout d’accord,Neutre,Pas du tout d’accord,Neutre,Neutre,Neutre,non,non,non,oui,oui,oui,non,non
03/04/2025 14:59:36,20,Homme,licence,colocation,6,Tout à fait d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Tout à fait d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Tout à fait d’accord,Tout à fait d’accord,Neutre,Pas du tout d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Neutre,Pas du tout d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,non,non,non,non,oui,non,oui,non
03/04/2025 17:30:00,21,Homme,cycle d'ingénieur,chez la famille,8,Tout à fait d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,non,non,non,oui,oui,,non,oui
06/04/2025 13:41:19,21,Homme,cycle preparatoire,colocation,6,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Neutre,Neutre,Tout à fait d’accord,Plutôt pas d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Neutre,Tout à fait d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,non,non,non,oui,oui,non,oui,non
14/04/2025 16:23:26,20,Femme,cycle preparatoire,colocation,5,Neutre,Plutôt d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt pas d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Pas du tout d’accord,Neutre,Pas du tout d’accord,non,non,non,oui,oui,non,non,non
14/04/2025 16:25:33,21,Homme,cycle preparatoire,colocation,9,Plutôt pas d’accord,Tout à fait d’accord,Neutre,Plutôt pas d’accord,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,Neutre,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Plutôt pas d’accord,non,non,non,oui,oui,oui,non,non
14/04/2025 16:32:37,20,Femme,cycle preparatoire,chez la famille,7heure et demi,Plutôt d’accord,Neutre,Neutre,Plutôt pas d’accord,Neutre,Tout à fait d’accord,Tout à fait d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,non,non,non,oui,oui,non,oui,non
